-1,,,homeonline:2EA72D28-B810-4DE3-A8FC-574E40754B0D,,,
23,,,homeonline:A92B1D86-D696-4CE0-9964-108AFF6D728C,,,
:v | Kauan,,,homeonline:5F71BE78-7D1E-40C5-83FF-F0E2639CCDE6,,,
.AR.,,,homeonline:0FD65CC3-88E9-41C4-9688-9426CF75287E,,,
.Nara,,,ssbudf:9907A47C-5347-495E-87EE-2B9FC1D0F2BC,,,Lucina
[waifu] | marxseny,,,homeonline:F627DA06-0B21-4D13-9ACD-B9B0FF9CF878,,,
@@@@@,,SP,"homeonline:0610FB10-78F0-4E8A-B754-5D723534D54C
prbth:E4A5A787-1EE2-44F4-B234-B9B10CED30A7",,,Snake
~JV~,,,"smashrs2020:D9160B74-D31E-4D2F-B53C-8F5B4BEEDF73
prbth:4486DAFB-4754-433D-A454-2117DE458593",,,
1 Bi Lions,,,teamdashsp:E38EFE3A-B99A-4361-8AD0-77E07D3CCF72,,,
11950557117 | Doc Marion,,,"homeonline:E282BF4E-E422-4B0E-9C9E-7507BA1196C4
prbth:B6A0DBC1-08C2-46C2-8AD3-0BEBECB06CAF",,,
1234_heros,,,homeonline:84DE1821-8249-46E6-982B-EDD70AAFE7DB,,,
13 | 13ddc,,,homeonline:88B084D0-4273-47DC-8143-5D68018AD325,,,
182 | nato,,,homeonline:EC42B23F-FCD5-4D16-B7A5-BFA047591720,,,
1uptg | Djudjo,,,homeonline:F0A27030-1038-4E83-89CF-6DF8376B053C,,,
2cae,,SP,"teamdashsp:ABF00643-1786-497C-B643-4468870E1970
prbth:EA4303C2-0FDD-4100-9EF2-EF4028396B65",,https://twitter.com/2cae20,"Lucina
Chrom
Roy"
3dd,,,"homeonline:6285D88E-BB6B-407E-B3FD-F94B403BF985
prbth:DFB576ED-EFC0-4810-81D4-E53E7D136AB4",,,Pokemon Trainer
9in,,MG,"liga_ultra_arcade_s1:EF9C2E27-994D-4798-9624-2F55346F330E
ssbudf:FB5AB482-07C3-4A2F-B532-DB1C1A72FA04
prbth:5099345D-EE1C-45C5-8777-51ACCBDE009E",Rafael Bastos,https://twitter.com/Rafofolette,Lucina
a13x,,,ssbudf:D107756A-007A-4834-8598-18E2F353D8B2,,,Zelda
Abaca,,SP,"teamdashsp:F051DD52-DC01-41B7-9FB9-B2AACB922C1F
prbth:01EBBC7B-6716-46A0-9428-8C7F7B8B881F",,,Rosalina And Luma
Abreu,,,"liga_ultra_arcade_s1:959E94F5-6027-4781-99DC-D75AF474238F
prbth:4D155377-4306-4ED8-BD4A-0CACDFCBF520",,,Little Mac
Acd | Shao,,,"smashrs2020:90E2E483-C887-47CA-913F-029102A18AF6
prbth:0049ADF8-1166-4979-92B4-13EF740F3E29",,,Chrom
Aceblind,,,"ssbudf:6EF98624-DFDF-420C-9F70-DC397CC9302D
prbth:EC9FB3C3-629A-40C9-9708-30AC40FC9C20",,,"Inkling
Dark Pit
Pac Man"
acerola,,,homeonline:684C4062-1BB0-436F-995E-E1A9028C95B3,,,
Acerola,,SP,"teamdashsp:01AD2037-E1C5-4CF3-BD19-FE81BA81AF10
prbth:5D8B86C3-08DA-4CAB-9039-DD8B64F38027",,,Palutena
aDitzel,,,"smashmanaus:5A6E2400-DAAD-4EB8-8AC6-68AAFEC4554F
prbth:0F2F2DB2-56EA-40B0-B59B-27E09F958955",,https://twitter.com/alexandreditzel,Zelda
